formation_start,formation_end,holding_start,holding_end,winner_return,loser_return,gross_return,turnover,transaction_cost,net_return,n_winners,n_losers,avg_winner_zscore,avg_loser_zscore,position_size,year
2021-07-02 22:00:00+00:00,2022-01-02 22:00:00+00:00,2022-01-02 22:00:00+00:00,2022-02-02 22:00:00+00:00,-0.005732562816915288,-0.003021445949214564,-0.002711116867700724,0.0,0.0,-0.002711116867700724,1,1,2.2445420798003317,-2.059476898696029,1.0,2022
2021-08-02 22:00:00+00:00,2022-02-02 22:00:00+00:00,2022-02-02 22:00:00+00:00,2022-03-02 22:00:00+00:00,-0.001956796564722968,-0.008853182635339024,0.0068963860706160555,2.0,0.0002,0.006696386070616056,1,1,2.6955203193174113,-2.04214814177543,1.0,2022
2021-09-02 22:00:00+00:00,2022-03-02 22:00:00+00:00,2022-03-02 22:00:00+00:00,2022-04-02 22:00:00+00:00,-0.00036011077783055183,0.0010608511019217176,-0.0014209618797522694,1.0,0.0001,-0.0015209618797522694,1,1,2.9601516598392843,-2.528622005964255,1.0,2022
2021-10-02 22:00:00+00:00,2022-04-02 22:00:00+00:00,2022-04-02 22:00:00+00:00,2022-05-02 22:00:00+00:00,0.0002246162212471814,0.0028227435850039506,-0.002598127363756769,1.0,0.0001,-0.002698127363756769,1,1,2.395627394876252,-2.214062520087816,1.0,2022
2021-11-02 22:00:00+00:00,2022-05-02 22:00:00+00:00,2022-05-02 22:00:00+00:00,2022-06-02 22:00:00+00:00,-0.0015062341552276176,0.006103661321215921,-0.0076098954764435385,2.0,0.0002,-0.007809895476443538,1,1,3.7188966872200755,-1.5739597233421045,1.0,2022
2021-12-02 22:00:00+00:00,2022-06-02 22:00:00+00:00,2022-06-02 22:00:00+00:00,2022-07-02 22:00:00+00:00,0.0024754428855119095,-0.0023281052315794735,0.004803548117091383,1.0,0.0001,0.004703548117091383,1,1,3.3692243983897154,-1.5826307479854194,1.0,2022
2022-01-02 22:00:00+00:00,2022-07-02 22:00:00+00:00,2022-07-02 22:00:00+00:00,2022-08-02 22:00:00+00:00,0.0019008958372268763,0.009869169781161426,-0.00796827394393455,1.0,0.0001,-0.00806827394393455,1,1,4.167474327714532,-1.6045810138780974,1.0,2022
2022-02-02 22:00:00+00:00,2022-08-02 22:00:00+00:00,2022-08-02 22:00:00+00:00,2022-09-02 22:00:00+00:00,-0.0020615830082977536,0.0015225526178983732,-0.0035841356261961266,1.0,0.0001,-0.0036841356261961265,1,1,4.615394134894504,-1.5313303978121646,1.0,2022
2022-03-02 22:00:00+00:00,2022-09-02 22:00:00+00:00,2022-09-02 22:00:00+00:00,2022-10-02 22:00:00+00:00,-0.002828155476565569,-0.007414791564615442,0.004586636088049873,2.0,0.0002,0.004386636088049873,1,1,2.4192254435554834,-2.1674938175200786,1.0,2022
2022-04-02 22:00:00+00:00,2022-10-02 22:00:00+00:00,2022-10-02 22:00:00+00:00,2022-11-02 22:00:00+00:00,0.005394403486014894,-0.008415438512036999,0.013809841998051893,2.0,0.0002,0.013609841998051892,1,1,2.582552735135689,-2.3305521043687616,1.0,2022
2022-05-02 22:00:00+00:00,2022-11-02 22:00:00+00:00,2022-11-02 22:00:00+00:00,2022-12-02 22:00:00+00:00,0.004597042124006457,0.012525300429402227,-0.00792825830539577,0.0,0.0,-0.00792825830539577,1,1,2.7419219083117707,-3.197291737009102,1.0,2022
2022-06-02 22:00:00+00:00,2022-12-02 22:00:00+00:00,2022-12-02 22:00:00+00:00,2023-01-02 22:00:00+00:00,0.0003870997820696831,0.001673186901963275,-0.001286087119893592,1.0,0.0001,-0.001386087119893592,1,1,2.3496338037066002,-2.2131988025791745,1.0,2023
2022-07-02 22:00:00+00:00,2023-01-02 22:00:00+00:00,2023-01-02 22:00:00+00:00,2023-02-02 22:00:00+00:00,0.007391735305190034,0.009023980498218852,-0.0016322451930288187,2.0,0.0002,-0.0018322451930288188,1,1,1.885279662637427,-2.3310646347042097,1.0,2023
2022-08-02 22:00:00+00:00,2023-02-02 22:00:00+00:00,2023-02-02 22:00:00+00:00,2023-03-02 22:00:00+00:00,0.0005711703166221049,-0.005375440826058969,0.005946611142681074,1.0,0.0001,0.005846611142681073,1,1,2.3576879127502965,-2.180307692918425,1.0,2023
2022-09-02 22:00:00+00:00,2023-03-02 22:00:00+00:00,2023-03-02 22:00:00+00:00,2023-04-02 22:00:00+00:00,-0.0028044737333267167,-0.011859381137621467,0.00905490740429475,2.0,0.0002,0.008854907404294749,1,1,2.5259838665275427,-2.4037994315902864,1.0,2023
2022-10-02 22:00:00+00:00,2023-04-02 22:00:00+00:00,2023-04-02 22:00:00+00:00,2023-05-02 22:00:00+00:00,0.001027238450987633,0.0035897846129462896,-0.0025625461619586563,1.0,0.0001,-0.002662546161958656,1,1,2.1131603360915805,-3.054061921963982,1.0,2023
2022-11-02 22:00:00+00:00,2023-05-02 22:00:00+00:00,2023-05-02 22:00:00+00:00,2023-06-02 22:00:00+00:00,0.0006309639904348055,-0.010535477112308105,0.01116644110274291,2.0,0.0002,0.01096644110274291,1,1,2.854047186485614,-3.3810006356456284,1.0,2023
2022-12-02 22:00:00+00:00,2023-06-02 22:00:00+00:00,2023-06-02 22:00:00+00:00,2023-07-02 22:00:00+00:00,0.0034322760335908694,0.004467264268013418,-0.0010349882344225488,1.0,0.0001,-0.0011349882344225488,1,1,2.3707384531234257,-3.63961503735609,1.0,2023
2023-01-02 22:00:00+00:00,2023-07-02 22:00:00+00:00,2023-07-02 22:00:00+00:00,2023-08-02 22:00:00+00:00,-0.0035569882607830033,-0.00653562471935841,0.0029786364585754066,1.0,0.0001,0.0028786364585754068,1,1,1.9387462745138786,-3.1469566242551847,1.0,2023
2023-02-02 22:00:00+00:00,2023-08-02 22:00:00+00:00,2023-08-02 22:00:00+00:00,2023-09-02 22:00:00+00:00,-0.003181647818965577,0.0015339238503332458,-0.004715571669298823,1.0,0.0001,-0.004815571669298823,1,1,2.1207564767224683,-4.5708590098189985,1.0,2023
2023-03-02 22:00:00+00:00,2023-09-02 22:00:00+00:00,2023-09-02 22:00:00+00:00,2023-10-02 22:00:00+00:00,-0.0060456864997241,-0.005526205520268123,-0.0005194809794559774,1.0,0.0001,-0.0006194809794559774,1,1,2.423457004382857,-4.315174900461718,1.0,2023
2023-04-02 22:00:00+00:00,2023-10-02 22:00:00+00:00,2023-10-02 22:00:00+00:00,2023-11-02 22:00:00+00:00,7.76355357263725e-05,0.0005874789856008098,-0.0005098434498744373,1.0,0.0001,-0.0006098434498744374,1,1,2.6478843297624137,-3.358797480200305,1.0,2023
2023-05-02 22:00:00+00:00,2023-11-02 22:00:00+00:00,2023-11-02 22:00:00+00:00,2023-12-02 22:00:00+00:00,0.00788651443192219,-0.00436001141516467,0.01224652584708686,1.0,0.0001,0.01214652584708686,1,1,2.278343434986062,-2.9416959577920516,1.0,2023
2023-06-02 22:00:00+00:00,2023-12-02 22:00:00+00:00,2023-12-02 22:00:00+00:00,2024-01-02 22:00:00+00:00,0.003096229177122799,0.0019706360483718703,0.0011255931287509286,0.0,0.0,0.0011255931287509286,1,1,2.925250277659103,-3.810645236572296,1.0,2024
2023-07-02 22:00:00+00:00,2024-01-02 22:00:00+00:00,2024-01-02 22:00:00+00:00,2024-02-02 22:00:00+00:00,-4.173634524177231e-05,-0.00022451085841925498,0.00018277451317748268,0.0,0.0,0.00018277451317748268,1,1,3.3554391257421803,-3.7280757834075935,1.0,2024
2023-08-02 22:00:00+00:00,2024-02-02 22:00:00+00:00,2024-02-02 22:00:00+00:00,2024-03-02 22:00:00+00:00,-0.002065600707274845,0.0007773947471551856,-0.0028429954544300306,0.0,0.0,-0.0028429954544300306,1,1,2.0483081294588694,-3.5964138737465396,1.0,2024
2023-09-02 22:00:00+00:00,2024-03-02 22:00:00+00:00,2024-03-02 22:00:00+00:00,2024-04-02 22:00:00+00:00,0.001243050158991843,0.0079699061153621,-0.006726855956370258,1.0,0.0001,-0.006826855956370258,1,1,2.1714095853273325,-3.396609446214039,1.0,2024
2023-10-02 22:00:00+00:00,2024-04-02 22:00:00+00:00,2024-04-02 22:00:00+00:00,2024-05-02 22:00:00+00:00,0.002522650091844875,0.004851595208520637,-0.0023289451166757617,1.0,0.0001,-0.0024289451166757616,1,1,1.759421701049866,-2.78600968466038,1.0,2024
2023-11-02 22:00:00+00:00,2024-05-02 22:00:00+00:00,2024-05-02 22:00:00+00:00,2024-06-02 22:00:00+00:00,0.0030471413264046513,0.0009280486285060195,0.0021190926978986316,2.0,0.0002,0.0019190926978986315,1,1,1.9091853079286307,-2.90506567922995,1.0,2024
2023-12-02 22:00:00+00:00,2024-06-02 22:00:00+00:00,2024-06-02 22:00:00+00:00,2024-07-02 22:00:00+00:00,-0.003126078578318698,0.0019462518264637529,-0.0050723304047824505,2.0,0.0002,-0.00527233040478245,1,1,2.769438293338502,-1.8128664540587491,1.0,2024
2024-01-02 22:00:00+00:00,2024-07-02 22:00:00+00:00,2024-07-02 22:00:00+00:00,2024-08-02 22:00:00+00:00,-0.00668595009017517,0.0013749730767952915,-0.008060923166970461,1.0,0.0001,-0.00816092316697046,1,1,2.1759427959201094,-2.184263942996696,1.0,2024
2024-02-02 22:00:00+00:00,2024-08-02 22:00:00+00:00,2024-08-02 22:00:00+00:00,2024-09-02 22:00:00+00:00,0.002004152987366256,-0.0007777605468637524,0.0027819135342300083,2.0,0.0002,0.0025819135342300082,1,1,2.821154572707696,-2.1531913993428025,1.0,2024
2024-03-02 22:00:00+00:00,2024-09-02 22:00:00+00:00,2024-09-02 22:00:00+00:00,2024-10-02 22:00:00+00:00,0.0004214688258264118,-0.0028161155722793187,0.0032375843981057306,1.0,0.0001,0.003137584398105731,1,1,2.677300654983605,-2.5368995163008186,1.0,2024
